latitude,longitude,year,season,gender
24.42278728,54.15907519,2009,1,0
24.46120744,54.13379251,2004,0,0
24.48490973,54.09996723,2012,2,1
24.45815487,54.15344516,2004,0,1
24.43216909,54.10224201,2012,0,0
24.47893755,54.149269,2004,0,1
24.4073157,54.1307488,2010,3,0
24.4338942,54.14599829,2006,0,0
24.4643554,54.14496834,2003,3,0
24.48130158,54.12258401,2000,0,0
24.43841118,54.12382367,2004,1,0
24.45786974,54.15359796,2008,0,1
24.46019973,54.12470483,2001,2,0
24.4154766,54.10498021,2005,0,0
24.4403389,54.10297641,2000,1,0
24.47176271,54.10011467,2006,3,0
24.45626013,54.08801973,2010,2,0
24.41438712,54.10001775,2000,0,0
24.43937437,54.09226978,2009,2,1
24.43345915,54.09606478,2011,1,0
24.45180357,54.10547668,2005,2,1
24.40948901,54.12017395,2008,3,0
24.41775988,54.14532984,2004,1,1
24.47399258,54.13888649,2001,0,1
24.423159,54.14999685,2007,3,0
24.45503332,54.12162685,2008,2,0
24.44620642,54.1176524,2010,1,1
24.41823481,54.15784079,2000,3,1
24.47364431,54.15267669,2008,0,1
24.4315021,54.0823509,2006,0,1
24.4599403,54.15028106,2007,3,0
24.40105661,54.12202603,2004,1,1
24.46576148,54.15230605,2002,1,0
24.46280651,54.0778206,2002,1,0
24.4286725,54.14005204,2012,0,1
24.47645512,54.14086514,2003,1,0
24.4351971,54.12023522,2012,0,0
24.4082598,54.12812769,2009,1,0
24.45273221,54.16416441,2010,0,1
24.43539696,54.14747336,2011,1,1
24.47494504,54.09636132,2000,3,1
24.43582329,54.1587883,2006,3,0
24.42295086,54.09775189,2003,2,1
24.45874005,54.13943217,2009,3,0
24.46241977,54.15960273,2003,2,1
24.44199825,54.14437149,2009,0,0
24.46580455,54.1573997,2010,3,0
24.44297549,54.16732614,2000,3,1
24.46233278,54.09113904,2010,1,1
24.48258429,54.09853647,2009,0,1
24.41552876,54.15350828,2010,1,0
24.42381695,54.08443901,2010,1,0
24.46973649,54.13573366,2007,0,0
24.42597728,54.16389906,2002,3,1
24.41194436,54.13301206,2010,3,1
24.44220576,54.15403064,2002,1,1
24.47510728,54.09306704,2000,2,0
24.47518125,54.11476584,2011,3,1
24.44014958,54.07876392,2005,3,1
24.48314277,54.12285735,2000,0,1
24.43921288,54.10221121,2008,1,1
24.42544121,54.07420859,2010,3,0
24.43419952,54.12935467,2007,3,1
24.46175407,54.13357775,2000,0,1
24.45449993,54.14902325,2000,0,1
24.44290355,54.11803576,2007,3,1
24.4396643,54.09102777,2008,3,0
24.41316733,54.12025303,2009,2,0
24.45988265,54.08638699,2005,0,1
24.43739251,54.14937932,2010,1,0
24.41401087,54.11046102,2005,3,1
24.43791464,54.07828966,2002,2,0
24.42201482,54.11272396,2003,3,1
24.41126944,54.14375451,2002,1,0
24.45172542,54.12961531,2009,0,1
24.45963682,54.07598294,2007,3,1
24.42305298,54.13923678,2001,0,1
24.41261449,54.14342878,2002,3,0
24.45961151,54.09734664,2007,1,0
24.42125434,54.10338519,2002,1,1
24.44404938,54.13164635,2012,1,0
24.41579557,54.12837239,2006,2,0
24.43889365,54.11773549,2009,0,0
24.46355223,54.11008504,2003,0,1
24.47060462,54.09319333,2001,2,0
24.45670568,54.12759427,2004,2,1
24.47417871,54.12130861,2008,1,0
24.41853145,54.09127694,2002,1,1
24.44821044,54.11128908,2008,0,1
24.44723384,54.09394027,2004,0,1
24.4361432,54.10375864,2007,0,0
24.45048347,54.0884755,2004,3,0
24.47625622,54.12812721,2010,1,1
24.47352938,54.13937834,2011,3,1
24.41252043,54.09217967,2008,1,0
24.44338825,54.15983917,2001,0,1
24.46132293,54.15319213,2007,1,1
24.43428713,54.13732572,2001,3,1
24.47547885,54.11671887,2007,1,1
24.45151322,54.15803225,2011,1,0
24.46863498,54.12185675,2007,1,1
24.43675379,54.0972392,2000,1,1
24.41667181,54.09943372,2004,2,0
24.47348868,54.11861468,2003,1,0
24.40877453,54.12815286,2012,3,1
24.42761069,54.14705946,2011,0,1
24.43033891,54.0988344,2008,1,1
24.46849723,54.08901428,2003,2,1
24.46643291,54.07734055,2007,0,1
24.45937481,54.12396942,2000,1,0
24.41265879,54.1246474,2010,3,0
24.45703982,54.15072653,2011,3,0
24.43141615,54.07498852,2008,3,1
24.45470824,54.16539367,2010,3,1
24.40356372,54.11398003,2012,0,0
24.42386547,54.15901982,2002,1,0
24.4187225,54.13557587,2000,0,0
24.41783532,54.13945554,2007,2,1
24.45046558,54.07355117,2010,1,1
24.45282716,54.14615921,2004,3,0
24.4820046,54.10089389,2003,1,1
24.44465458,54.09496352,2010,0,0
24.43955659,54.0762364,2012,1,0
24.4506572,54.13013726,2000,3,1
24.44588519,54.07835947,2012,1,1
24.46869146,54.09173069,2000,3,1
24.43610413,54.16545522,2002,2,1
24.45769166,54.0986175,2009,2,0
24.46654452,54.11553295,2010,1,0
24.46444132,54.13092031,2000,0,1
24.44380126,54.13061267,2011,1,0
24.45626822,54.14996997,2009,0,0
24.45488555,54.07303801,2009,3,1
24.46820555,54.13980291,2000,1,0
24.42339463,54.11281936,2011,1,1
24.42615474,54.1549865,2003,0,0
24.47231321,54.11989831,2009,2,0
24.424219,54.08246916,2006,1,0
24.4852021,54.10323871,2009,1,0
24.43340953,54.07547273,2003,2,0
24.43814467,54.13039627,2012,2,1
24.41054428,54.14389903,2002,0,0
24.46449532,54.16155277,2003,1,1
24.45179224,54.14051793,2002,2,0
24.41904311,54.11298696,2007,1,1
24.44854874,54.13502489,2009,0,0
24.43871895,54.10323919,2007,3,1
24.45267331,54.11783811,2003,3,1
24.44170656,54.10681143,2004,3,0
24.46515925,54.08875711,2004,3,1
24.4220026,54.14400746,2006,1,0
24.45497086,54.11725878,2006,1,1
24.4405837,54.1274083,2007,1,0
24.41801931,54.10458387,2004,2,0
24.47806955,54.12035276,2002,2,0
24.40018861,54.10882971,2003,3,0
24.41203733,54.10092298,2000,2,0
24.46912232,54.0833304,2009,2,0
24.44199256,54.14182128,2012,2,1
24.45950627,54.10757605,2005,3,0
24.42266957,54.10228901,2010,2,0
24.4176073,54.09741836,2012,3,1
24.42237209,54.08196305,2000,0,1
24.46575473,54.08687136,2002,3,0
24.45099506,54.16441232,2002,1,1
24.41660462,54.08183928,2005,0,1
24.40912328,54.12450892,2001,3,0
24.47158969,54.14987749,2007,0,1
24.42946563,54.15971266,2004,3,1
24.47130792,54.10995679,2006,0,1
24.46659614,54.0920031,2008,2,1
24.46735738,54.08837263,2006,2,0
24.44582498,54.13612083,2005,2,0
24.44354022,54.1483765,2012,3,1
24.41220765,54.11920029,2005,1,0
24.47527412,54.13500852,2006,0,1
24.42812576,54.10434005,2007,0,1
24.45206789,54.08033802,2003,3,1
24.43245343,54.12275708,2003,0,0
24.44528979,54.07358436,2009,1,0
24.41390011,54.08732682,2009,0,1
24.40470445,54.13325059,2007,2,1
24.43066584,54.15645138,2008,0,1
24.4206239,54.14321452,2012,2,0
24.42282521,54.14318907,2008,1,1
24.43096187,54.11021803,2003,3,0
24.40500996,54.10512837,2008,2,1
24.42565461,54.08905154,2011,1,0
24.4525804,54.16245867,2011,0,1
24.4782683,54.14837206,2002,3,0
24.44816639,54.08398437,2004,2,0
24.48218957,54.09848501,2003,2,1
24.47923161,54.12102167,2012,3,0
24.43736271,54.07352554,2006,1,1
24.42911111,54.15591419,2007,0,0
24.41461314,54.09447446,2011,3,1
24.4105943,54.08605575,2000,3,1
24.43512021,54.11655293,2002,2,1
24.43717584,54.14161458,2001,0,1
24.42287309,54.13538231,2000,2,0
24.44528245,54.15216569,2010,3,1
24.44861851,54.1331248,2009,1,1
24.45856862,54.15342042,2011,1,0
24.41756585,54.14665531,2001,0,0
24.43429571,54.13383527,2009,0,0
24.42735402,54.15828379,2002,2,1
24.43076655,54.16312666,2006,0,0
24.45469811,54.11813847,2001,2,1
24.44487029,54.15031935,2011,2,1
24.46792011,54.13559605,2003,0,1
24.47806584,54.14447016,2006,2,0
